slope_pct,raw_speed_kmh,current_speed_kmh,walk_bike_speed_kmh,hybrid_routing_speed_kmh
-37,-131.139,0,1.36038,0.25
-36.98,-131.103,0,1.36133,0.25
-36.96,-131.066,0,1.36228,0.25
-36.94,-131.029,0,1.36324,0.25
-36.92,-130.992,0,1.36419,0.25
-36.9,-130.955,0,1.36515,0.25
-36.88,-130.918,0,1.3661,0.25
-36.86,-130.881,0,1.36706,0.25
-36.84,-130.844,0,1.36802,0.25
-36.82,-130.807,0,1.36898,0.25
-36.8,-130.771,0,1.36993,0.25
-36.78,-130.734,0,1.37089,0.25
-36.76,-130.697,0,1.37185,0.25
-36.74,-130.66,0,1.37281,0.25
-36.72,-130.623,0,1.37378,0.25
-36.7,-130.586,0,1.37474,0.25
-36.68,-130.549,0,1.3757,0.25
-36.66,-130.512,0,1.37666,0.25
-36.64,-130.475,0,1.37763,0.25
-36.62,-130.438,0,1.37859,0.25
-36.6,-130.401,0,1.37956,0.25
-36.58,-130.363,0,1.38052,0.25
-36.56,-130.326,0,1.38149,0.25
-36.54,-130.289,0,1.38246,0.25
-36.52,-130.252,0,1.38343,0.25
-36.5,-130.215,0,1.38439,0.25
-36.48,-130.178,0,1.38536,0.25
-36.46,-130.141,0,1.38633,0.25
-36.44,-130.104,0,1.3873,0.25
-36.42,-130.067,0,1.38828,0.25
-36.4,-130.03,0,1.38925,0.25
-36.38,-129.992,0,1.39022,0.25
-36.36,-129.955,0,1.39119,0.25
-36.34,-129.918,0,1.39217,0.25
-36.32,-129.881,0,1.39314,0.25
-36.3,-129.844,0,1.39412,0.25
-36.28,-129.807,0,1.3951,0.25
-36.26,-129.769,0,1.39607,0.25
-36.24,-129.732,0,1.39705,0.25
-36.22,-129.695,0,1.39803,0.25
-36.2,-129.658,0,1.39901,0.25
-36.18,-129.62,0,1.39999,0.25
-36.16,-129.583,0,1.40097,0.25
-36.14,-129.545,0,1.40195,0.25
-36.12,-129.508,0,1.40293,0.25
-36.1,-129.471,0,1.40391,0.25
-36.08,-129.434,0,1.4049,0.25
-36.06,-129.396,0,1.40588,0.25
-36.04,-129.359,0,1.40686,0.25
-36.02,-129.322,0,1.40785,0.25
-36,-129.284,0,1.40883,0.25
-35.98,-129.247,0,1.40982,0.25
-35.96,-129.209,0,1.41081,0.25
-35.94,-129.172,0,1.4118,0.25
-35.92,-129.135,0,1.41279,0.25
-35.9,-129.097,0,1.41377,0.25
-35.88,-129.06,0,1.41476,0.25
